
This product is licensed by WSO2 LLC. under Apache License 2.0. The license
can be downloaded from the following locations:
	http://www.apache.org/licenses/LICENSE-2.0.html
	http://www.apache.org/licenses/LICENSE-2.0.txt

This product also contains software under different licenses. This table below
all the contained libraries (jar files) and the license under which they are 
provided to you.

At the bottom of this file is a table that shows what each license indicated
below is and where the actual text of the license can be found.


Name                                                                                                Type           License             
icu4j-3.8.jar                                                                                       jarinbundle    icu
org.sat4j.core_2.3.5.v201308161310.jar                                                              bundle         epl1 + lgpl2
org.eclipse.equinox.security_1.4.200.v20240213-1244.jar                                             bundle         epl2
org.eclipse.equinox.p2.updatesite_1.3.200.v20231008-1114.jar                                        bundle         epl2
org.wso2.micro.integrator.bootstrap-4.6.0-alpha.jar                                                 bundle         apache2
tomcat-juli-11.0.18.jar                                                                             bundle         apache2
tcpmon-1.0.jar                                                                                      jar            bsd
org.wso2.micro.integrator.utils-4.6.0-alpha.jar                                                     bundle         apache2
addressing-1.6.1-wso2v108.mar                                                                       bundle         apache2
rampart-1.7.0-wso2v7.mar                                                                            bundle         apache2
addressing-1.6.1-wso2v120.mar                                                                       bundle         apache2
utsecurity-4.6.0-alpha.mar                                                                          jar            upl1.0


The license types used by the above libraries and their information is given below:

mpl20          Mozilla Public License Version 2.0
               http://www.mozilla.org/MPL/2.0/
apache2        Apache License Version 2.0
               http://www.apache.org/licenses/LICENSE-2.0.html
bsd            Berkeley License
               http://www.opensource.org/licenses/bsd-license.php
ISC            ISC License
               https://opensource.org/license/isc-license-txt
bouncy         Bouncy Castle License
               http://www.bouncycastle.org/licence.html
mit            MIT License
               http://www.opensource.org/licenses/mit-license.php
golang         Go Lang
               https://golang.org/LICENSE
upl1.0         Universal Permissive License, Version 1.0
               http://opensource.org/licenses/UPL
epl2           Eclipse Public License Version 2.0
               https://www.eclipse.org/legal/epl-2.0/
cddl1          Common Development and Distribution License
               http://www.opensource.org/licenses/cddl1.php
icu            ICU License
               http://source.icu-project.org/repos/icu/icu/trunk/license.html
mpl10          Mozilla Public License Version 1.0
               http://www.mozilla.org/MPL/
epl1           Eclipse Public License
               http://www.eclipse.org/legal/epl-v10.html
lgpl3          Lesser General Public License Version 3
               https://opensource.org/licenses/lgpl-3.0.html
0bsd           0BSD License
               https://opensource.org/license/0bsd
edl1           Eclipse Distribution License Version 1.0
               http://www.eclipse.org/org/documents/edl-v10.php
lgpl2          Lesser General Public License Version 2.1
               http://www.gnu.org/licenses/lgpl-2.1.php
gpl1           General Public License Version 1.0
               https://www.gnu.org/licenses/old-licenses/gpl-1.0.html
bsd3           Berkeley License - 3
               http://opensource.org/licenses/BSD-3-Clause
cc-by-sa3      Creative Commons Attribution-ShareAlike Version 3.0
               https://creativecommons.org/licenses/by-sa/3.0/
